Date,RACE
2020-09-28,178.7244873046875
2020-09-29,177.81759643554688
2020-09-30,179.51434326171875
2020-10-01,180.0116729736328
2020-10-02,176.37437438964844
2020-10-05,178.0906219482422
2020-10-06,172.10325622558594
2020-10-07,178.8414764404297
2020-10-08,176.81320190429688
2020-10-09,178.29539489746094
2020-10-12,180.30421447753906
2020-10-13,179.6118621826172
2020-10-14,181.142822265625
2020-10-15,183.04437255859375
2020-10-16,187.7348175048828
2020-10-19,184.66310119628906
2020-10-20,187.75430297851562
2020-10-21,185.2091827392578
2020-10-22,185.37496948242188
2020-10-23,185.24819946289062
2020-10-26,180.81129455566406
2020-10-27,180.73326110839844
2020-10-28,172.71759033203125
2020-10-29,174.1315460205078
2020-10-30,173.9852752685547
2020-11-02,178.626953125
2020-11-03,191.1380615234375
