Price,Adj Close,Close,High,Low,Open,Volume,return,volatility
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,,
2021-05-11,115.02471160888672,115.43800354003906,116.0999984741211,114.1500015258789,114.59300231933594,32110000,-1.4049833370291198,23.186066606097793
2021-05-12,111.55318450927734,111.9540023803711,114.26850128173828,111.50250244140625,113.08550262451172,34934000,-3.018071218166518,28.94602369334553
2021-05-13,112.6935806274414,113.09850311279297,113.83004760742188,112.13600158691406,113.05449676513672,26670000,1.0222955035884773,28.848379859518907
2021-05-14,115.39337921142578,115.80799865722656,116.05699920654297,114.16600036621094,114.59149932861328,26624000,2.395695318559099,36.57300358849444
2021-05-17,115.65493774414062,116.07050323486328,116.16699981689453,114.75,115.46600341796875,19842000,0.2266722339392846,33.484844398736826
2021-05-18,114.7591552734375,115.17150115966797,117.15750122070312,115.15799713134766,116.84529876708984,17302000,-0.7745310394461025,32.2804316313544
2021-05-19,115.022216796875,115.43550109863281,115.83799743652344,113.1760025024414,113.22000122070312,19350000,0.22922332027159875,18.727656590157338
2021-05-20,117.38272857666016,117.80449676513672,118.01699829101562,116.05449676513672,116.4020004272461,23832000,2.0522245270800488,21.36375802570117
2021-05-21,116.83519744873047,117.25499725341797,118.44999694824219,117.11849975585938,118.29949951171875,22832000,-0.4664503705781864,17.411186241334708
2021-05-24,119.9026870727539,120.33350372314453,120.92400360107422,118.00550079345703,118.3499984741211,21244000,2.625479972570477,24.188389821385698
2021-05-25,120.02224731445312,120.45349884033203,121.64450073242188,120.14949798583984,121.0,18838000,0.09971879275083584,21.389621589101996
2021-05-26,121.2408676147461,121.67649841308594,122.14720153808594,120.62574768066406,120.6417465209961,21856000,1.0153292220884902,20.52863729126306
2021-05-27,119.69541931152344,120.12550354003906,122.0,120.0999984741211,121.84700012207031,38962000,-1.2746873005675452,23.781148886534464
2021-05-28,120.14630889892578,120.5780029296875,121.40699768066406,120.3844985961914,121.0979995727539,24108000,0.3766888598286888,22.568489367907453
2021-06-01,121.05553436279297,121.4905014038086,121.89855194091797,120.24400329589844,121.0999984741211,19166000,0.7567702665080667,14.177712402889043
