Date,ORCL
2020-09-28,55.762325286865234
2020-09-29,55.65937042236328
2020-09-30,55.8746337890625
2020-10-01,55.85593032836914
2020-10-02,55.06037902832031
2020-10-05,55.74360656738281
2020-10-06,55.696807861328125
2020-10-07,56.93722915649414
2020-10-08,57.219146728515625
2020-10-09,57.463470458984375
2020-10-12,57.75476837158203
2020-10-13,57.2943229675293
2020-10-14,57.2849235534668
2020-10-15,56.87145233154297
2020-10-16,56.65531539916992
2020-10-19,56.02570724487305
2020-10-20,56.14786911010742
2020-10-21,56.07269287109375
2020-10-22,56.09148406982422
2020-10-23,56.28882598876953
2020-10-26,54.02411651611328
2020-10-27,53.63883590698242
2020-10-28,52.2386589050293
2020-10-29,52.642738342285156
2020-10-30,52.72731018066406
2020-11-02,53.046817779541016
